type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,15061,d4:da:21:9b:81:01,-24,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215341966,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,16,-9,13,-8,11,-6,8,-2,4,3,0,6,0,9,1,12,5,17,9,22,11,28,11,29,10,28,10,25,9,21,7,18,5,15,0,13,-4,9,-8,7,-10,6,-12,5,-13,4,-10,4,-5,5,-1,8,0,0,2,11,3,9,4,5,5,2,4,-1,3,-3,2,-5,0,-4,-4,-2,-9,1,-13,3,-16,6,-19,8,-21,8,-21,8,-19,8,-16,8,-13,10,-11,11,-10,12,-11,11,-11,9,-12,7,-12,4,-13,2,-13,-1,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15062,d4:da:21:9b:81:01,-24,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215353967,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,3,16,4,14,3,11,-1,7,-4,2,-6,-2,-9,-4,-13,-4,-18,-2,-25,-1,-31,-1,-33,-2,-32,-2,-30,-2,-25,-1,-22,-1,-18,-2,-13,-5,-8,-8,-4,-9,-2,-11,0,-12,1,-11,0,-8,-4,-5,-8,-2,0,0,-12,-1,-11,0,-9,2,-6,3,-3,3,0,3,2,2,2,-1,3,-5,4,-10,4,-14,3,-18,3,-22,3,-23,2,-23,2,-21,0,-19,-2,-16,-4,-15,-5,-15,-4,-14,-2,-14,0,-13,3,-12,5,-11,6,-10,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15063,d4:da:21:9b:81:01,-24,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215369970,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,15,-5,14,-6,12,-5,8,-2,3,2,-2,4,-4,8,-5,11,-4,17,-3,23,-4,29,-4,31,-4,31,-5,28,-3,24,-4,20,-4,16,-6,11,-7,6,-8,1,-9,-1,-9,-3,-8,-4,-5,-2,-2,2,0,6,0,0,2,11,3,11,2,9,2,6,2,2,1,-1,0,-4,-3,-5,-7,-5,-11,-6,-14,-7,-18,-5,-21,-4,-23,-4,-23,-4,-21,-3,-19,-1,-16,1,-14,2,-13,4,-13,3,-13,1,-12,-1,-11,-4,-10,-5,-9,-7,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15064,d4:da:21:9b:81:01,-24,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215381979,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-11,12,-10,13,-9,11,-8,6,-5,-1,-2,-6,-1,-11,-2,-14,-6,-17,-10,-22,-13,-27,-14,-29,-13,-29,-13,-27,-11,-23,-9,-20,-6,-17,-2,-14,3,-10,6,-6,8,-5,9,-3,8,-1,5,-1,1,-3,-3,-4,0,0,-8,-7,-10,-8,-8,-7,-6,-4,-4,-1,-2,2,1,3,4,3,7,2,11,0,14,-1,16,-5,18,-7,20,-8,20,-9,18,-9,15,-9,12,-9,9,-10,8,-11,9,-10,9,-8,10,-5,10,-3,10,-1,10,1,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15065,d4:da:21:9b:81:01,-22,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215393979,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,14,3,13,2,11,3,5,3,-2,2,-8,1,-12,1,-15,2,-18,6,-21,10,-25,13,-27,14,-27,14,-26,14,-23,13,-21,10,-18,7,-15,2,-11,-2,-8,-6,-6,-8,-3,-10,-2,-8,-2,-5,-4,0,-7,3,0,0,-11,7,-10,8,-9,7,-5,6,-2,6,1,5,2,2,4,-1,5,-6,6,-10,7,-13,6,-17,6,-20,6,-21,6,-21,5,-20,4,-17,2,-14,0,-13,-1,-13,0,-12,2,-11,4,-9,6,-7,8,-6,10,-5,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15066,d4:da:21:9b:81:01,-24,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215405993,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,12,9,12,8,10,7,5,7,-2,5,-7,2,-11,2,-13,3,-15,7,-18,14,-23,18,-25,20,-24,20,-22,19,-19,17,-17,14,-15,10,-13,4,-10,-2,-7,-6,-6,-10,-5,-12,-3,-12,-1,-9,0,-4,0,2,0,0,-2,10,-3,12,-3,10,-1,8,1,5,3,2,2,-1,1,-4,-2,-8,-4,-11,-7,-13,-11,-14,-14,-16,-15,-16,-16,-16,-16,-14,-15,-12,-14,-8,-14,-5,-15,-3,-15,-4,-14,-5,-12,-7,-9,-8,-7,-10,-6,-11,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15067,d4:da:21:9b:81:01,-24,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215421966,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-14,-8,-14,-5,-13,-5,-8,-6,-2,-6,3,-6,7,-7,10,-10,11,-15,15,-21,19,-25,20,-26,19,-25,17,-23,13,-21,11,-18,10,-14,9,-8,8,-2,7,2,6,5,5,7,3,7,2,4,1,-1,0,-7,0,0,3,-15,4,-15,3,-13,0,-10,-2,-7,-3,-4,-3,-1,-1,2,2,6,5,10,7,12,11,13,13,14,15,15,16,14,15,12,14,10,13,5,14,2,15,1,15,2,14,4,12,7,9,8,7,9,6,11,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15068,d4:da:21:9b:81:01,-24,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215433976,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,14,-1,13,-4,11,-4,9,-1,4,2,0,6,-3,9,-4,13,-4,19,-3,25,-5,29,-6,30,-5,28,-3,26,-1,22,-1,20,-2,16,-4,11,-6,6,-7,2,-8,-1,-8,-3,-7,-3,-4,0,-1,4,1,9,0,0,1,16,1,16,1,12,2,8,3,4,3,2,2,-1,-1,-2,-5,-4,-9,-6,-12,-6,-16,-5,-19,-5,-21,-6,-21,-5,-19,-4,-16,-2,-14,1,-14,4,-15,5,-15,4,-16,1,-14,-2,-12,-4,-11,-5,-10,-7,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15069,d4:da:21:9b:81:01,-24,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215445982,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-11,10,-8,11,-7,11,-7,7,-6,2,-5,-4,-5,-9,-6,-13,-9,-17,-13,-21,-14,-26,-14,-27,-14,-25,-14,-22,-13,-18,-13,-16,-10,-14,-6,-13,-1,-10,3,-8,5,-6,6,-5,5,-4,1,-4,-4,-6,-9,-9,0,0,-12,-14,-11,-13,-9,-10,-7,-6,-6,-2,-4,1,-3,2,0,1,4,-2,8,-4,11,-5,14,-8,16,-10,18,-11,18,-11,16,-11,13,-10,9,-11,7,-12,6,-14,7,-13,9,-11,10,-8,10,-5,10,-3,10,-2,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15070,d4:da:21:9b:81:01,-22,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215461972,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-8,11,-6,12,-5,11,-5,7,-4,2,-3,-4,-2,-9,-3,-14,-5,-18,-7,-22,-8,-26,-8,-27,-9,-25,-10,-23,-10,-20,-9,-18,-7,-17,-4,-14,0,-12,3,-10,5,-8,6,-6,4,-6,0,-7,-4,-11,-7,-15,0,0,-6,-18,-5,-16,-5,-11,-5,-6,-6,-2,-7,1,-6,2,-3,1,2,-1,8,-1,12,-1,16,-2,19,-2,21,-2,21,-2,19,-1,16,-2,13,-4,12,-6,12,-6,12,-4,12,-1,11,1,9,4,7,5,6,6,0,0,0,0,0,0,0,0,0,0]"
